"Canada",0,12,100,M,26578125,26578125,26578125,0,100,100,100,0,15517288,15411804,15622773,0.3,58.4,58,58.8,0.3,5934285,5838374,6030197,0.8,22.3,22,22.7,0.8,9583003,9476576,9689431,0.6,36.1,35.7,36.5,0.6,8029557,7920860,8138254,0.7,30.2,29.8,30.6,0.7,3012984,2942048,3083920,1.2,11.3,11.1,11.6,1.2,18296,13618,22974,13,0.1,0.1,0.1,13
"Canada",0,12,100,F,13090299,13090299,0,100,100,100,0,7786920,7707833,7866008,0.5,59.5,58.9,60.1,0.5,3033961,2964942,3102979,1.2,23.2,22.6,23.7,1.2,4752960,4674032,4831887,0.8,36.3,35.7,36.9,0.8,3948883,3870924,4026841,1,30.2,29.6,30.8,1,1343523,1299017,1388029,1.7,10.3,9.9,10.6,1.7,10973,6845,15101,19.2,0.1,0.1,0.1,19.2
"Canada",0,12,19,B,13487826,13487826,0,100,100,100,0,7730368,7655501,7805235,0.5,57.3,56.8,57.9,0.5,2900324,2836465,2964183,1.1,21.5,21,22,1.1,4830044,4754838,4905249,0.8,35.8,35.3,36.4,0.8,4080674,4005566,4155782,0.9,30.3,29.7,30.8,0.9,1669461,1619565,1719357,1.5,12.4,12,12.7,1.5,7323,4908,9738,16.8,0.1,0,0.1,16.8
"Canada",0,12,19,M,3316567,3316567,0,100,100,100,0,2220392,2187259,2253524,0.8,66.9,65.9,67.9,0.8,833077,801962,864193,1.9,25.1,24.2,26.1,1.9,1387314,1353431,1421197,1.2,41.8,40.8,42.9,1.2,930366,897629,963104,1.8,28.1,27.1,29,1.8,163701,148779,178622,4.7,4.9,4.5,5.4,4.7,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,12,19,F,1700772,1700772,0,100,100,100,0,1158917,1135514,1182319,1,68.1,66.8,69.5,1,463573,440412,486734,2.5,27.3,25.9,28.6,2.5,695344,672012,718675,1.7,40.9,39.5,42.3,1.7,466187,443297,489076,2.5,27.4,26.1,28.8,2.5,74139,64122,84157,6.9,4.4,3.8,4.9,6.9,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,12,14,B,1615795,1615795,0,100,100,100,0,1061475,1037817,1085132,1.1,65.7,64.2,67.2,1.1,369504,348693,390315,2.9,22.9,21.6,24.2,2.9,691971,667337,716604,1.8,42.8,41.3,44.3,1.8,464180,441381,486978,2.5,28.7,27.3,30.1,2.5,89561,78357,100765,6.4,5.5,4.8,6.2,6.4,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,12,14,M,1241745,1308407,1.3,100,100,100,0,855752,825167,886336,1.8,67.1,65.4,68.8,1.3,303353,282476,324230,3.5,23.8,22.3,25.3,3.3,552399,526976,577822,2.3,43.3,41.6,45,2,380266,356489,404042,3.2,29.8,28.1,31.5,2.9,37167,30628,43706,9,2.9,2.4,3.4,8.8,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,12,14,F,640096,688385,1.9,100,100,100,0,438547,417460,459633,2.5,66,63.6,68.4,1.9,154792,140657,168928,4.7,23.3,21.3,25.3,4.3,283754,266004,301504,3.2,42.7,40.4,45.1,2.8,201392,183173,219610,4.6,30.3,27.9,32.7,4,22795,17409,28182,12.1,3.4,2.6,4.2,11.9,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,15,19,B,587669,634002,1.9,100,100,100,0,417205,394654,439756,2.8,68.3,65.8,70.8,1.9,148560,133303,163818,5.2,24.3,22,26.7,4.9,268645,250605,286684,3.4,44,41.6,46.3,2.7,178874,162406,195342,4.7,29.3,26.8,31.8,4.4,14372,10565,18179,13.5,2.4,1.7,3,13.4,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,15,19,M,2008160,2074822,0.8,100,100,100,0,1364640,1329659,1399621,1.3,66.8,65.6,68.1,1,529724,502906,556543,2.6,25.9,24.7,27.2,2.4,834915,804419,865412,1.9,40.9,39.6,42.2,1.6,550101,524187,576014,2.4,26.9,25.7,28.2,2.3,126534,113209,139858,5.4,6.2,5.6,6.8,5.3,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,15,19,F,1012387,1060675,1.2,100,100,100,0,720370,694651,746089,1.8,69.5,67.7,71.3,1.3,308781,287851,329710,3.5,29.8,27.9,31.7,3.2,411589,390790,432388,2.6,39.7,37.9,41.5,2.3,264795,246154,283436,3.6,25.5,23.8,27.3,3.4,51344,42799,59890,8.5,5,4.1,5.8,8.5,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,20,34,B,981794,1028127,1.2,100,100,100,0,644270,620495,668045,1.9,64.1,62.3,65.9,1.5,220944,204055,237832,3.9,22,20.4,23.6,3.7,423326,401123,445529,2.7,42.1,40.1,44.1,2.4,285306,267341,303270,3.2,28.4,26.7,30.1,3,75189,64682,85696,7.1,7.5,6.5,8.5,7,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,20,34,M,6263360,6372193,0.4,100,100,100,0,4342469,4277313,4407624,0.8,68.7,67.9,69.6,0.6,1780900,1723854,1837946,1.6,28.2,27.3,29,1.5,2561568,2500207,2622930,1.2,40.5,39.6,41.5,1.2,1650475,1597966,1702984,1.6,26.1,25.3,26.9,1.6,323288,295797,350780,4.3,5.1,4.7,5.5,4.3,-1,-1,-1,-1,-1,-1,-1,-1
"Canada",0,20,34,F,3127470,3205522,0.6,100,100,100,0,2197716,2147871,2247560,1.2,69.4,68.1,70.7,0.9,930153,887373,972933,2.3,29.4,28.1,30.7,2.3,1267563,1219802,1315323,1.9,40,38.6,41.4,1.8,822334,784656,860011,2.3,26,24.8,27.1,2.3,145690,125818,165561,7,4.6,4,5.2,6.9,-1,-1,-1,-1,-1,-1,-1,-1
